neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_listings_count,instant_bookable,availability_30,availability_60,availability_90,availability_365,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,city,bathrooms,amenities_count,occupancy_q1,occupancy_q2,occupancy_q3,occupancy_q4,occupancy_autumn,occupancy_spring,occupancy_summer,occupancy_winter,occupancy_rate,occupancy_weekday,occupancy_weekend,total_reviews,days_since_last_review,listing_age_days,reviews_last_6m
Fuente del Berro,40.4281993288116,-3.66631098280238,Private room in rental unit,Private room,2,1.0,1.0,0.0,1.0,0.8,within an hour,1.0,0,1,1,10,29,1,365,3,3,4.67,4.67,5.0,5.0,3.0,78.0,Madrid,1.0,14,0.7888888888888889,1.0,0.9891304347826086,0.9021739130434784,0.989010989010989,1.0,1.0,0.6888888888888889,0.3315068493150684,0.9153846153846154,0.9333333333333332,,,,
Palacio,40.4127,-3.71082,Entire loft,Entire home/apt,6,1.0,3.0,0.0,1.0,0.99,within an hour,4.0,1,5,5,5,5,1,90,202,5,4.54,4.63,4.9,4.54,1.97,166.0,Madrid,1.0,37,1.0,1.0,0.9456521739130436,1.0,0.945054945054945,1.0,1.0,1.0,0.3315068493150684,0.9885057471264368,0.9807692307692308,,,,
Cortes,40.41447,-3.69523,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,1.0,1.0,within an hour,2.0,1,8,8,35,249,1,365,53,6,4.51,4.64,4.96,4.42,0.59,156.0,Madrid,1.0,44,0.6333333333333333,0.0,0.1413043478260869,0.5,0.6043956043956045,0.0434782608695651,0.0,0.6333333333333333,0.3315068493150684,0.3218390804597701,0.3076923076923077,,,,
Cármenes,40.39738,-3.73814,Private room in rental unit,Private room,1,1.0,1.0,0.0,1.0,0.99,within an hour,7.0,0,6,29,59,77,1,365,15,15,4.8,4.8,4.4,4.73,2.83,27.0,Madrid,1.0,37,1.0,1.0,0.9565217391304348,0.2065217391304348,0.4835164835164834,1.0,1.0,0.6666666666666667,0.3315068493150684,0.7923076923076923,0.780952380952381,,,,
Embajadores,40.40811,-3.70303,Entire rental unit,Entire home/apt,3,1.0,2.0,0.0,1.0,1.0,within an hour,159.0,1,4,4,4,9,2,365,128,51,4.34,4.63,4.32,4.23,4.42,71.0,Madrid,1.0,35,1.0,1.0,0.9347826086956522,0.967391304347826,0.9010989010989012,1.0,1.0,1.0,0.3315068493150684,0.9808429118773946,0.9615384615384616,,,,
Valdeacederas,40.4673697,-3.6994731,Entire rental unit,Entire home/apt,4,2.0,3.0,0.0,1.0,0.47,within a day,1.0,0,12,42,72,347,2,1125,14,3,4.79,4.93,4.29,4.57,0.52,222.0,Madrid,1.0,53,0.0,0.0,0.1739130434782608,0.0217391304347825,0.1978021978021977,0.0,0.0,0.0,0.3315068493150684,0.053639846743295,0.0384615384615384,,,,
Embajadores,40.408224112967744,-3.698549368966632,Entire rental unit,Entire home/apt,3,1.0,2.0,0.0,0.68,0.56,within an hour,208.0,1,5,14,33,273,1,365,0,0,4.75,4.79,4.85,4.64,1.42,83.0,Madrid,1.0,24,0.2888888888888888,0.021978021978022,0.1630434782608695,0.5326086956521738,0.6153846153846154,0.0,0.0543478260869565,0.3444444444444444,0.3315068493150684,0.2452107279693486,0.2692307692307693,,,,
Palacio,40.41845,-3.70868,Entire rental unit,Entire home/apt,2,0.0,1.0,0.0,0.99,1.0,within an hour,23.0,1,0,2,15,265,3,365,593,54,4.39,4.54,4.87,4.44,5.57,92.0,Madrid,1.0,32,0.0555555555555555,0.1428571428571429,0.1739130434782608,0.7173913043478262,0.7802197802197802,0.1195652173913043,0.0760869565217391,0.1222222222222222,0.3315068493150684,0.2758620689655172,0.2692307692307693,,,,
Castillejos,40.45942323438574,-3.6995543262200106,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,0.7,0.57,within a day,3.0,0,19,19,19,266,30,330,0,0,4.75,4.79,4.85,4.64,1.42,42.0,Madrid,1.0,6,0.1111111111111111,0.0,0.0,0.967391304347826,0.6373626373626373,0.0,0.0,0.4555555555555556,0.3315068493150684,0.2681992337164751,0.2788461538461538,,,,
Embajadores,40.4102024,-3.6991939,Entire rental unit,Entire home/apt,3,0.0,2.0,1.0,1.0,1.0,within an hour,1.0,0,8,32,61,335,1,1125,211,152,4.84,4.78,4.79,4.72,12.01,96.0,Madrid,1.0,39,0.0,0.0109890109890109,0.1739130434782608,0.1413043478260869,0.3186813186813186,0.0108695652173913,0.0,0.0,0.3315068493150684,0.0727969348659003,0.1057692307692307,,,,
