listing_id,city,price_eur,log_price_eur,neighbourhood_cleansed,neighbourhood_group,latitude,longitude,distance_to_center_km,is_central_5km,neighbourhood_listing_count,property_type,property_group,room_type,accommodates,bedrooms,beds,bathrooms,bathroom_type,amenities_count,has_wifi,has_kitchen,has_air_conditioning,has_washer,has_dedicated_workspace,has_tv,has_parking,has_elevator,has_heating,has_self_checkin,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_tenure_days,days_since_last_review,review_history_days,has_reviews,minimum_nights_capped,is_professional_host,calendar_days,calendar_available_days,calendar_unavailable_days,calendar_unavailable_rate,calendar_unavailable_q1,calendar_unavailable_q2,calendar_unavailable_q3,calendar_unavailable_q4,calendar_unavailable_autumn,calendar_unavailable_spring,calendar_unavailable_summer,calendar_unavailable_winter,calendar_unavailable_weekday,calendar_unavailable_weekend,raw_review_total_reviews,raw_reviews_last_6m
45342011,Madrid,257.0,5.552959584921617,Sol,Centro,40.41939,-3.70047,0.403,1,994,Entire serviced apartment,Hotel/serviced,Entire home/apt,5,2.0,2.0,2.0,Standard,26,1,1,1,1,0,1,0,1,1,1,2025-09-15,2020-09-03,within an hour,1.0,0.99,1.0,4.0,4.0,1.0,1.0,1,1125,1.0,7,25,46,80,503,155,7,180,2021-03-31,2025-09-10,4.86,4.85,4.89,4.89,4.79,4.91,4.78,1.0,4,4,0,0,9.26,1838.0,5.0,1624.0,1,1,0,365,80,285,0.7808219178082192,0.6888888888888889,1.0,0.9565217391304348,0.4782608695652174,0.6043956043956044,1.0,1.0,0.5111111111111111,0.7777777777777778,0.7884615384615384,503.0,79.0
40538012,Madrid,46.0,3.8501476017100575,Justicia,Centro,40.42039,-3.70127,0.453,1,861,Private room in rental unit,Apartment/condo,Private room,2,1.0,3.0,1.0,Shared,49,1,1,1,0,1,1,0,1,1,1,2025-09-15,2019-12-02,within an hour,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1125,1.0,3,12,29,108,180,45,4,42,2019-12-21,2025-09-08,4.91,4.9,4.84,4.94,4.94,4.95,4.86,0.0,1,0,1,0,2.58,2114.0,7.0,2088.0,1,2,0,365,108,257,0.7041095890410959,0.2222222222222222,1.0,0.967391304347826,0.6195652173913043,0.7472527472527473,0.8586956521739131,1.0,0.2,0.6896551724137931,0.7403846153846154,180.0,31.0
1102179164949022438,Madrid,125.0,4.836281906951478,Sol,Centro,40.4167895942337,-3.7071913460327233,0.2871,1,994,Entire rental unit,Apartment/condo,Entire home/apt,4,2.0,2.0,2.0,Standard,29,1,1,1,1,0,1,0,1,1,0,2025-09-15,2024-02-29,within a few hours,0.83,0.46,1.0,2.0,4.0,1.0,1.0,30,365,1.0,11,41,71,251,2,0,0,2,2024-06-02,2024-09-14,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,2,2,0,0,0.13,564.0,366.0,104.0,1,30,0,365,251,114,0.3123287671232876,0.0,0.2087912087912088,1.0,0.0326086956521739,0.3626373626373626,0.0,0.8804347826086957,0.0,0.3141762452107279,0.3076923076923077,2.0,0.0
1495587378998875283,Madrid,22.0,3.1354942159291497,Embajadores,Centro,40.4107,-3.7055,0.6934,1,1878,Private room in hostel,Guesthouse/hostel,Private room,1,1.0,1.0,1.0,Shared,12,1,1,1,0,0,0,1,0,0,0,2025-09-15,2025-08-25,within an hour,0.97,1.0,0.0,3.0,6.0,1.0,1.0,1,365,1.0,26,56,86,361,1,1,1,0,2025-09-13,2025-09-13,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,3,0,2,1,1.0,21.0,2.0,0.0,1,1,0,365,361,4,0.010958904109589,0.0,0.0,0.0434782608695652,0.0,0.0439560439560439,0.0,0.0,0.0,0.0076628352490421,0.0192307692307692,1.0,1.0
1333348641824534861,Madrid,164.0,5.10594547390058,Sol,Centro,40.41462788365311,-3.703818914901124,0.2415,1,994,Shared room in hostel,Guesthouse/hostel,Shared room,4,1.0,3.0,1.0,Shared,5,1,0,1,0,1,0,0,0,0,0,2025-09-15,2025-01-05,,,0.8,0.0,12.0,12.0,1.0,1.0,1,365,1.0,6,15,40,308,2,2,0,0,2025-04-08,2025-04-27,5.0,5.0,5.0,4.5,5.0,5.0,5.0,1.0,12,0,11,1,0.37,253.0,141.0,19.0,1,1,1,365,308,57,0.1561643835616438,0.0333333333333333,0.0,0.1956521739130435,0.391304347826087,0.5274725274725275,0.0326086956521739,0.0434782608695652,0.0222222222222222,0.1685823754789272,0.125,2.0,2.0
21498125,Madrid,97.0,4.584967478670572,Embajadores,Centro,40.40918,-3.69324,1.2318,1,1878,Entire loft,Apartment/condo,Entire home/apt,2,1.0,1.0,1.0,Standard,30,1,1,1,0,0,0,1,0,1,0,2025-09-14,2014-07-03,within an hour,1.0,0.99,1.0,5.0,6.0,1.0,1.0,70,730,1.0,0,2,12,264,648,90,5,93,2017-11-04,2025-09-09,4.87,4.86,4.95,4.92,4.94,4.92,4.83,1.0,5,5,0,0,6.77,4091.0,5.0,2866.0,1,30,1,365,264,101,0.2767123287671232,0.1111111111111111,0.0769230769230769,0.1956521739130435,0.717391304347826,0.7912087912087912,0.0869565217391304,0.0217391304347826,0.2111111111111111,0.2846153846153846,0.2571428571428571,648.0,40.0
1450172533546923867,Madrid,142.0,4.962844630259907,Cortes,Centro,40.41440645469107,-3.703779829736327,0.2662,1,758,Entire rental unit,Apartment/condo,Entire home/apt,3,1.0,2.0,1.0,Standard,6,1,1,1,1,0,1,0,0,0,0,2025-09-15,2010-05-24,within an hour,1.0,1.0,0.0,17.0,18.0,1.0,1.0,5,50,1.0,16,46,76,351,3,3,1,0,2025-07-07,2025-08-24,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,17,17,0,0,1.27,5593.0,22.0,48.0,1,5,1,365,351,14,0.0383561643835616,0.0,0.0,0.1304347826086956,0.0217391304347826,0.1538461538461538,0.0,0.0,0.0,0.0383141762452107,0.0384615384615384,3.0,3.0
1482651264240182530,Madrid,49.0,3.912023005428146,Cortes,Centro,40.41537,-3.69765,0.5444,1,758,Private room in rental unit,Apartment/condo,Private room,2,1.0,1.0,2.0,Shared,6,1,1,0,1,1,0,0,0,0,0,2025-09-15,2022-01-04,within an hour,0.99,0.99,0.0,14.0,23.0,1.0,1.0,7,365,1.0,17,47,77,257,1,1,1,0,2025-08-19,2025-08-19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,10,1,9,0,1.0,1350.0,27.0,0.0,1,7,1,365,257,108,0.2958904109589041,0.0,0.2087912087912088,0.967391304347826,0.0,0.2967032967032967,0.0,0.8804347826086957,0.0,0.2911877394636015,0.3076923076923077,1.0,1.0
3318664,Madrid,178.0,5.187385805840755,Sol,Centro,40.41721,-3.70597,0.1893,1,994,Entire rental unit,Apartment/condo,Entire home/apt,6,2.0,3.0,2.0,Standard,54,1,1,1,1,0,1,1,1,1,0,2025-09-15,2014-06-05,within an hour,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3,1125,1.0,2,8,13,140,214,32,3,28,2014-09-30,2025-09-06,4.88,4.91,4.92,4.9,4.95,4.91,4.88,1.0,2,2,0,0,1.6,4120.0,9.0,3994.0,1,3,0,365,140,225,0.6164383561643836,0.5111111111111111,0.7912087912087912,0.3369565217391304,0.8260869565217391,0.7692307692307693,0.8260869565217391,0.3043478260869565,0.5666666666666667,0.5977011494252874,0.6634615384615384,214.0,14.0
21732039,Madrid,115.0,4.7535901911063645,Embajadores,Centro,40.41277,-3.70732,0.5382,1,1878,Entire rental unit,Apartment/condo,Entire home/apt,4,2.0,2.0,1.5,Standard,45,1,1,1,1,1,1,1,1,1,1,2025-09-15,2017-11-11,within an hour,1.0,1.0,1.0,8.0,8.0,1.0,1.0,2,1125,1.0,0,4,7,49,506,79,2,84,2018-01-22,2025-08-31,4.85,4.88,4.84,4.81,4.88,4.94,4.78,0.0,8,8,0,0,5.43,2865.0,15.0,2778.0,1,2,1,365,49,316,0.8657534246575342,0.5555555555555556,1.0,1.0,0.9021739130434784,0.934065934065934,0.8586956521739131,1.0,0.6666666666666666,0.8659003831417624,0.8653846153846154,506.0,41.0
