neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_listings_count,instant_bookable,availability_30,availability_60,availability_90,availability_365,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,city,bathrooms,amenities_count,occupancy_q1,occupancy_q2,occupancy_q3,occupancy_q4,occupancy_autumn,occupancy_spring,occupancy_summer,occupancy_winter,occupancy_rate,occupancy_weekday,occupancy_weekend,total_reviews,days_since_last_review,listing_age_days,reviews_last_6m
Canillas,40.46597,-3.62903,Entire rental unit,Entire home/apt,2,1.0,2.0,0.0,1.0,1.0,within an hour,66.0,1,17,18,18,18,3,60,136,41,4.84,4.91,4.72,4.67,1.94,69.0,Madrid,1.0,37,1.0,1.0,0.9347826086956522,0.8695652173913043,0.8021978021978022,1.0,1.0,1.0,0.3315068493150684,0.946153846153846,0.961904761904762,,,,
Toshima Ku,35.73401565111355,139.70655673439327,Private room in rental unit,Private room,2,1.0,2.0,0.0,1.0,0.98,within an hour,3.0,0,10,12,12,12,1,365,24,19,4.42,4.13,4.58,4.54,1.32,36.7536,Tokyo,1.0,35,1.0,1.0,1.0,0.8695652173913043,0.8681318681318682,1.0,1.0,1.0,0.5506849315068494,0.9540229885057472,1.0,24.0,250.0,755.0,0.0
Rios Rosas,40.43995,-3.69959,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,0.97,0.99,within an hour,904.0,1,0,0,0,67,30,330,0,0,4.75,4.79,4.85,4.64,1.42,116.0,Madrid,1.0,37,1.0,0.7142857142857143,0.5543478260869565,1.0,1.0,1.0,0.2717391304347826,1.0,0.3315068493150684,0.8199233716475096,0.8076923076923077,,,,
Taito Ku,35.72124,139.78888,Room in hotel,Private room,4,1.0,4.0,1.0,1.0,1.0,within an hour,18.0,1,4,10,14,126,1,50,9,1,5.0,5.0,4.67,4.89,0.2,217.0,Tokyo,1.0,37,0.5444444444444445,0.2197802197802197,1.0,0.8478260869565217,0.8901098901098901,0.3695652173913043,0.6739130434782609,0.6888888888888889,0.5506849315068494,0.6475095785440613,0.6730769230769231,9.0,524.0,1580.0,0.0
Embajadores,40.41058,-3.70217,Entire rental unit,Entire home/apt,4,1.0,3.0,0.0,0.99,1.0,within an hour,21.0,0,7,31,61,330,3,1125,223,51,4.65,4.85,4.68,4.56,2.38,111.0,Madrid,1.0,33,0.0444444444444444,0.0,0.1630434782608695,0.1739130434782608,0.3186813186813186,0.0,0.0,0.0666666666666666,0.3315068493150684,0.0996168582375478,0.0865384615384615,,,,
Setagaya Ku,35.65025,139.64194,Entire rental unit,Entire home/apt,4,1.0,3.0,1.0,1.0,1.0,within an hour,1.0,1,1,5,29,179,1,365,75,39,4.95,4.95,4.83,4.89,3.12,89.19319999999999,Tokyo,1.0,36,0.0222222222222222,0.3296703296703297,1.0,0.6739130434782609,0.934065934065934,0.0,1.0,0.0999999999999999,0.5506849315068494,0.5095785440613028,0.5096153846153846,75.0,214.0,934.0,0.0
Shinjuku Ku,35.69714,139.7056,Entire rental unit,Entire home/apt,3,1.0,2.0,1.0,1.0,0.69,within an hour,6.0,1,3,23,50,81,2,6,43,22,4.81,4.93,4.86,4.86,2.3,114.2598,Tokyo,1.0,35,0.6555555555555556,1.0,1.0,0.4565217391304348,0.7252747252747253,1.0,1.0,0.3777777777777777,0.5506849315068494,0.7739463601532567,0.7884615384615384,43.0,226.0,773.0,0.0
Shinjuku Ku,35.71286,139.69944,Entire rental unit,Entire home/apt,3,1.0,2.0,0.0,0.99,0.99,within an hour,13.0,1,3,12,32,204,2,1125,70,17,4.41,4.23,4.61,4.39,1.22,61.3676,Tokyo,1.0,24,0.1333333333333333,1.0,0.0217391304347825,0.6086956521739131,0.5604395604395604,0.7934782608695652,0.3260869565217391,0.0777777777777777,0.5506849315068494,0.4367816091954023,0.4519230769230768,70.0,227.0,1929.0,0.0
Taito Ku,35.72049,139.78936,Shared room in hotel,Shared room,1,1.0,8.0,0.0,0.82,1.0,within an hour,13.0,1,26,54,84,330,1,365,2,1,5.0,5.0,5.0,5.0,0.12,49.5814,Tokyo,2.0,35,0.0,0.0,0.3260869565217391,0.0543478260869565,0.3846153846153846,0.0,0.0,0.0,0.5506849315068494,0.0996168582375478,0.0865384615384615,2.0,538.0,700.0,0.0
Taito Ku,35.7271411,139.7655375,Entire home,Entire home/apt,8,2.0,6.0,0.0,1.0,1.0,within an hour,1.0,0,8,16,18,114,2,365,7,7,5.0,5.0,5.0,5.0,1.11,281.8644,Tokyo,1.5,63,0.2666666666666667,0.6703296703296704,0.9891304347826086,0.8152173913043479,0.8131868131868132,0.4130434782608695,1.0,0.5222222222222221,0.5506849315068494,0.6704980842911877,0.7307692307692308,7.0,248.0,401.0,0.0
Itabashi Ku,35.74554413438804,139.71240836493425,Entire rental unit,Entire home/apt,11,2.0,6.0,0.0,1.0,1.0,within an hour,13.0,0,0,16,30,288,30,365,3,1,5.0,5.0,5.0,4.33,0.12,203.7196,Tokyo,1.0,43,0.1444444444444445,0.0,0.0217391304347825,0.6739130434782609,0.5164835164835164,0.0,0.0,0.3333333333333333,0.5506849315068494,0.210727969348659,0.2115384615384615,3.0,571.0,948.0,0.0
Toshima Ku,35.72992004623616,139.72715832899252,Entire rental unit,Entire home/apt,4,1.0,1.0,0.0,0.93,0.79,within a few hours,24.0,0,26,56,86,361,30,140,0,0,4.81,4.8,4.78,4.75,1.39,103.757,Tokyo,1.0,35,0.0,0.0,0.0217391304347825,0.0217391304347825,0.0439560439560439,0.0,0.0,0.0,0.5506849315068494,0.0153256704980843,0.0,,,,
Taito Ku,35.71520641231469,139.79438390386,Entire rental unit,Entire home/apt,4,1.0,2.0,1.0,1.0,1.0,within an hour,122.0,1,1,9,31,297,2,365,39,39,4.62,4.59,4.87,4.51,3.95,101.6366,Tokyo,1.0,39,0.0999999999999999,0.0,0.0108695652173913,0.6304347826086957,0.5604395604395604,0.0217391304347825,0.0,0.1666666666666666,0.5506849315068494,0.1839080459770115,0.1923076923076923,39.0,225.0,507.0,0.0
Embajadores,40.40987,-3.69987,Entire rental unit,Entire home/apt,6,2.0,4.0,1.0,1.0,0.99,within an hour,1.0,0,7,25,55,235,3,365,70,61,4.87,4.97,4.3,4.81,5.04,155.0,Madrid,2.0,39,0.0,0.2087912087912088,0.9891304347826086,0.217391304347826,0.5384615384615384,0.0,0.8804347826086957,0.0,0.3315068493150684,0.3448275862068966,0.3846153846153846,,,,
Shinjuku Ku,35.70149732560673,139.71253628941898,Entire rental unit,Entire home/apt,3,1.0,2.0,0.0,1.0,1.0,within an hour,19.0,1,5,26,52,313,2,365,0,0,4.81,4.8,4.78,4.75,1.39,103.1122,Tokyo,1.5,22,0.1222222222222222,0.0,0.0108695652173913,0.4347826086956522,0.3736263736263736,0.108695652173913,0.0,0.0888888888888889,0.5506849315068494,0.1417624521072796,0.1442307692307692,,,,
Vallehermoso,40.44399293383832,-3.713109628569652,Room in aparthotel,Entire home/apt,2,0.0,0.0,0.0,1.0,1.0,within an hour,138.0,1,19,49,78,78,2,1125,24,21,4.42,4.25,4.67,4.33,1.23,112.0,Madrid,1.0,20,1.0,1.0,0.8913043478260869,0.2608695652173913,0.2747252747252747,1.0,1.0,0.8666666666666667,0.3315068493150684,0.7854406130268199,0.7884615384615384,,,,
Universidad,40.4218907,-3.703881299999999,Shared room in hostel,Shared room,1,1.0,6.0,0.0,1.0,0.99,within an hour,25.0,1,10,10,10,120,1,365,3,2,4.33,4.67,4.0,5.0,0.17,21.0,Madrid,4.0,25,1.0,0.6263736263736264,0.0652173913043477,1.0,0.7362637362637363,0.9565217391304348,0.0,1.0,0.3315068493150684,0.6704980842911877,0.6730769230769231,,,,
Argüelles,40.42084,-3.71602,Entire rental unit,Entire home/apt,4,2.0,2.0,0.0,0.99,1.0,within an hour,17.0,0,9,13,29,263,1,365,25,9,4.88,4.96,4.88,4.76,0.84,170.0,Madrid,2.0,30,0.0666666666666666,0.2307692307692307,0.1847826086956522,0.6304347826086957,0.6593406593406593,0.2282608695652174,0.0,0.2333333333333332,0.3315068493150684,0.2796934865900383,0.2788461538461538,,,,
Bunkyo Ku,35.71215,139.73,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,0.98,0.98,within an hour,32.0,1,4,24,54,136,30,365,0,0,4.81,4.8,4.78,4.75,1.39,77.283,Tokyo,1.0,28,0.1333333333333333,1.0,1.0,0.3695652173913043,0.7032967032967032,0.7934782608695652,1.0,0.0,0.5506849315068494,0.6283524904214559,0.625,,,,
Taito Ku,35.72298,139.79419,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,1.0,1.0,within an hour,55.0,1,16,43,73,348,1,180,2,2,5.0,4.5,3.0,5.0,0.63,56.3704,Tokyo,1.0,19,0.0,0.0,0.0,0.1847826086956522,0.1868131868131868,0.0,0.0,0.0,0.5506849315068494,0.0421455938697318,0.0576923076923077,2.0,277.0,306.0,0.0
Justicia,40.42394,-3.69877,Entire rental unit,Entire home/apt,4,2.0,2.0,0.0,1.0,0.91,within a few hours,1.0,0,1,2,2,256,7,260,8,8,5.0,5.0,5.0,5.0,1.94,221.0,Madrid,2.0,38,0.0333333333333333,0.0,0.1739130434782608,0.9782608695652174,0.8241758241758241,0.0,0.0,0.3777777777777777,0.3315068493150684,0.2988505747126436,0.2980769230769231,,,,
Nakano Ku,35.70811,139.67189,Entire rental unit,Entire home/apt,3,1.0,2.0,0.0,1.0,0.97,within an hour,7.0,1,0,3,16,282,3,365,1,1,5.0,4.0,5.0,5.0,0.35,71.62859999999999,Tokyo,1.0,26,0.0,0.0989010989010988,0.0217391304347825,0.782608695652174,0.6263736263736264,0.0978260869565217,0.0,0.1888888888888888,0.5506849315068494,0.2260536398467433,0.2307692307692307,1.0,298.0,298.0,0.0
Minato Ku,35.6497313,139.7537282,Entire rental unit,Entire home/apt,2,0.0,2.0,1.0,1.0,1.0,within an hour,6.0,1,13,27,57,57,1,365,2,2,4.5,5.0,4.5,5.0,1.22,75.8818,Tokyo,1.0,31,1.0,1.0,1.0,0.3804347826086957,0.6813186813186813,1.0,1.0,0.6888888888888889,0.5506849315068494,0.842911877394636,0.8461538461538461,2.0,227.0,260.0,0.0
Almagro,40.43611943525192,-3.6920129040449736,Private room in rental unit,Private room,2,0.0,1.0,1.0,1.0,0.97,within an hour,6.0,1,11,39,67,342,1,365,0,0,4.75,4.79,4.85,4.64,1.42,122.0,Madrid,1.0,8,0.0,0.0,0.1521739130434782,0.0978260869565217,0.2527472527472527,0.0,0.0,0.0,0.3315068493150684,0.0574712643678161,0.0769230769230768,,,,
Universidad,40.4242083,-3.7050607,Entire rental unit,Entire home/apt,3,1.0,2.0,0.0,1.0,0.84,within an hour,6.0,0,13,43,73,253,1,364,14,14,4.29,4.71,4.79,4.36,1.49,89.0,Madrid,1.0,38,0.0,0.2087912087912088,0.9239130434782608,0.0869565217391304,0.3406593406593406,0.0,0.8804347826086957,0.0,0.3315068493150684,0.2988505747126436,0.3269230769230768,,,,
Valdeacederas,40.46574,-3.70369,Entire rental unit,Entire home/apt,4,1.0,1.0,0.0,0.46,0.2,a few days or more,41.0,0,14,44,74,349,3,365,2,2,4.0,5.0,4.5,4.0,0.53,60.0,Madrid,1.0,13,0.0,0.0,0.1739130434782608,0.0,0.1758241758241758,0.0,0.0,0.0,0.3315068493150684,0.0423076923076922,0.0476190476190476,,,,
Castilla,40.47194242827268,-3.685481052837023,Private room in rental unit,Private room,2,1.0,1.0,0.0,0.96,0.98,within an hour,38.0,1,8,19,32,119,1,1125,0,0,4.75,4.79,4.85,4.64,1.42,45.0,Madrid,2.0,25,0.3333333333333333,0.912087912087912,1.0,0.4456521739130434,0.7802197802197802,0.5760869565217391,1.0,0.3333333333333333,0.3315068493150684,0.676923076923077,0.6666666666666667,,,,
Chuo Ku,35.66947,139.76255,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1.0,1.0,within an hour,23.0,1,0,6,36,311,28,180,6,4,5.0,4.83,5.0,4.83,0.27,135.6746,Tokyo,1.0,31,0.0,0.0,0.0108695652173913,0.5760869565217391,0.5934065934065934,0.0,0.0,0.0,0.5506849315068494,0.1494252873563218,0.1442307692307692,6.0,217.0,883.0,0.0
Sumida Ku,35.70084866449608,139.79746828215386,Entire rental unit,Entire home/apt,1,1.0,1.0,0.0,1.0,0.99,within an hour,30.0,1,2,15,45,126,1,365,18,18,4.94,4.72,4.83,4.94,2.34,63.1284,Tokyo,1.0,28,0.1333333333333333,1.0,1.0,0.4782608695652174,0.8131868131868132,0.7934782608695652,1.0,0.0,0.5506849315068494,0.6551724137931034,0.6538461538461539,18.0,216.0,442.0,0.0
Los Rosales,40.357462612210185,-3.685889866270451,Entire rental unit,Entire home/apt,4,0.0,4.0,1.0,1.0,1.0,within an hour,6.0,1,13,35,50,50,1,365,21,11,5.0,5.0,4.86,5.0,0.86,119.0,Madrid,1.0,33,1.0,1.0,0.9347826086956522,0.5217391304347826,0.4505494505494505,1.0,1.0,1.0,0.3315068493150684,0.8576923076923078,0.8761904761904762,,,,
Moscardó,40.38520597816793,-3.714894216826414,Entire rental unit,Entire home/apt,6,3.0,3.0,0.0,1.0,1.0,within an hour,3.0,1,18,34,40,156,2,365,9,3,4.89,4.89,4.56,4.67,0.37,200.0,Madrid,1.0,42,0.0333333333333333,0.8681318681318682,0.8913043478260869,0.4891304347826086,0.6263736263736264,0.6739130434782609,0.8804347826086957,0.0999999999999999,0.3315068493150684,0.5653846153846154,0.5904761904761905,,,,
Minato Ku,35.6579386,139.7565929,Entire rental unit,Entire home/apt,8,1.0,5.0,0.0,1.0,0.99,within an hour,48.0,0,6,19,39,114,2,365,15,15,4.67,4.67,4.93,4.53,1.26,186.3596,Tokyo,1.5,33,0.1999999999999999,1.0,1.0,0.5434782608695652,0.7692307692307692,0.6630434782608696,1.0,0.3111111111111111,0.5506849315068494,0.6743295019157088,0.7211538461538461,15.0,394.0,569.0,0.0
Koto Ku,35.685763450181504,139.80125690883523,Entire rental unit,Entire home/apt,6,1.0,5.0,1.0,1.0,0.98,within an hour,107.0,1,16,46,76,90,1,365,76,33,4.75,4.75,4.82,4.63,3.06,212.3872,Tokyo,1.0,28,0.8777777777777778,1.0,1.0,0.1413043478260869,0.4725274725274725,1.0,1.0,0.5333333333333333,0.5506849315068494,0.7586206896551724,0.7403846153846154,76.0,225.0,956.0,0.0
Sumida Ku,35.7091705,139.8304754,Entire rental unit,Entire home/apt,5,1.0,3.0,0.0,1.0,1.0,within an hour,15.0,1,11,25,55,330,2,90,4,4,5.0,5.0,5.0,5.0,2.79,106.02,Tokyo,1.0,40,0.0,0.0,0.0,0.3804347826086957,0.3846153846153846,0.0,0.0,0.0,0.5506849315068494,0.0842911877394636,0.125,4.0,221.0,255.0,0.0
