neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_listings_count,instant_bookable,availability_30,availability_60,availability_90,availability_365,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,city,bathrooms,amenities_count,occupancy_q1,occupancy_q2,occupancy_q3,occupancy_q4,occupancy_autumn,occupancy_spring,occupancy_summer,occupancy_winter,occupancy_rate,occupancy_weekday,occupancy_weekend,total_reviews,days_since_last_review,listing_age_days,reviews_last_6m
Ota Ku,35.56451,139.73246,Entire rental unit,Entire home/apt,4,1.0,2.0,1.0,1.0,0.97,within an hour,5.0,1,5,7,22,133,1,31,13,13,4.92,4.85,4.62,4.69,2.65,55.7008,Tokyo,1.0,31,0.3444444444444444,0.4615384615384615,1.0,0.7282608695652174,0.9230769230769232,0.5326086956521738,0.7173913043478262,0.3666666666666667,0.5506849315068494,0.6283524904214559,0.6538461538461539,13.0,226.0,358.0,0.0
Ota Ku,35.5897564,139.6965519,Entire rental unit,Entire home/apt,8,2.0,4.0,1.0,1.0,1.0,within an hour,1.0,1,7,15,27,195,2,180,20,20,4.8,4.8,4.4,4.8,2.41,107.074,Tokyo,1.0,24,0.1222222222222222,0.0439560439560439,1.0,0.6847826086956521,0.8021978021978022,0.0326086956521739,0.7173913043478262,0.3111111111111111,0.5506849315068494,0.4521072796934866,0.5,20.0,217.0,461.0,0.0
Shinjuku Ku,35.69663,139.7108,Entire rental unit,Entire home/apt,6,1.0,3.0,0.0,1.0,0.98,within an hour,12.0,0,0,5,6,219,30,365,1,1,5.0,5.0,4.0,5.0,1.0,124.0,Tokyo,1.0,44,0.3222222222222222,0.3296703296703297,0.0108695652173913,0.9347826086956522,0.6263736263736264,0.5326086956521738,0.0,0.4444444444444444,0.5506849315068494,0.4022988505747126,0.3942307692307693,1.0,216.0,216.0,0.0
Shinjuku Ku,35.71347,139.69946,Entire rental unit,Entire home/apt,3,1.0,2.0,0.0,0.99,0.99,within an hour,13.0,1,5,16,46,218,2,1125,38,17,4.32,3.89,4.47,4.16,0.8,61.3676,Tokyo,1.0,24,0.1333333333333333,1.0,0.0217391304347825,0.4565217391304348,0.4835164835164834,0.7934782608695652,0.3260869565217391,0.0,0.5506849315068494,0.4061302681992337,0.3942307692307693,38.0,220.0,1629.0,0.0
Taito Ku,35.71609005547638,139.78158617790987,Entire rental unit,Entire home/apt,5,2.0,3.0,1.0,1.0,1.0,within an hour,50.0,1,19,49,74,164,1,365,0,0,4.81,4.8,4.78,4.75,1.39,184.233,Tokyo,1.0,34,0.0333333333333333,1.0,1.0,0.1630434782608695,0.4395604395604395,0.6956521739130435,1.0,0.0555555555555555,0.5506849315068494,0.5478927203065134,0.5576923076923077,,,,
Nakano Ku,35.68930279859343,139.67720862536592,Entire rental unit,Entire home/apt,4,2.0,4.0,0.0,1.0,1.0,within an hour,3.0,1,3,24,54,329,1,365,35,23,4.31,4.57,4.29,4.37,2.23,51.088,Tokyo,1.0,9,0.0,0.0,0.0217391304347825,0.3695652173913043,0.3956043956043956,0.0,0.0,0.0,0.5506849315068494,0.0996168582375478,0.0961538461538461,35.0,228.0,682.0,0.0
Taito Ku,35.703654177701466,139.78428850556875,Entire home,Entire home/apt,6,1.0,4.0,1.0,1.0,0.99,within an hour,7.0,1,22,52,82,162,2,29,17,17,4.94,4.94,4.71,4.76,2.0,151.1436,Tokyo,1.5,39,0.1111111111111111,1.0,0.9891304347826086,0.1195652173913043,0.4065934065934066,0.6956521739130435,1.0,0.1111111111111111,0.5506849315068494,0.5555555555555556,0.5576923076923077,17.0,262.0,466.0,0.0
Edogawa Ku,35.73711870410898,139.88815671331676,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,0.9,1.0,within a few hours,6.0,1,22,49,79,348,1,365,1,1,5.0,5.0,5.0,5.0,1.0,57.8212,Tokyo,1.0,9,0.0333333333333333,0.0,0.0,0.1521739130434782,0.1208791208791209,0.0,0.0,0.0666666666666666,0.5506849315068494,0.0383141762452107,0.0673076923076922,1.0,227.0,227.0,0.0
Sumida Ku,35.70570868606843,139.79959114443224,Entire rental unit,Entire home/apt,3,2.0,2.0,0.0,0.99,0.99,within an hour,96.0,1,0,4,30,111,30,365,2,2,4.5,4.5,4.0,4.0,0.19,69.13,Tokyo,1.0,33,0.1333333333333333,1.0,1.0,0.6413043478260869,0.934065934065934,0.7934782608695652,1.0,0.0444444444444444,0.5506849315068494,0.7011494252873562,0.6826923076923077,2.0,449.0,526.0,0.0
Toshima Ku,35.74364712736962,139.70902562141418,Entire home,Entire home/apt,6,2.0,5.0,0.0,1.0,1.0,within an hour,2.0,1,14,27,31,202,1,180,3,3,5.0,5.0,5.0,5.0,0.56,94.4136,Tokyo,1.0,17,0.0777777777777777,0.0439560439560439,0.9891304347826086,0.6630434782608696,0.6923076923076923,0.0760869565217391,0.7173913043478262,0.3,0.5506849315068494,0.4367816091954023,0.4711538461538461,3.0,318.0,374.0,0.0
