price_eur,log_price_eur,neighbourhood_cleansed,neighbourhood_group,property_group,room_type,bathroom_type,capacity_bucket,host_response_time,host_scale_bucket,review_recency_bucket,latitude,longitude,distance_to_center_km,is_central_5km,neighbourhood_listing_count,accommodates,bedrooms,beds,bathrooms,amenities_count,has_wifi,has_kitchen,has_air_conditioning,has_washer,has_dedicated_workspace,has_tv,has_parking,has_elevator,has_heating,has_self_checkin,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_tenure_days,days_since_last_review,review_history_days,has_reviews,minimum_nights_capped,is_professional_host,calendar_unavailable_rate,calendar_unavailable_q1,calendar_unavailable_q2,calendar_unavailable_q3,calendar_unavailable_q4,calendar_unavailable_autumn,calendar_unavailable_spring,calendar_unavailable_summer,calendar_unavailable_winter,calendar_unavailable_weekday,calendar_unavailable_weekend,beds_per_guest,bathrooms_per_guest,reviews_last_6m,has_rating,reviewed_last_30d,reviewed_last_90d,low_availability_30,high_annual_availability,availability_30_ratio,availability_365_ratio,calendar_weekend_unavailable_gap
146.0,4.990432586778736,Comillas,Carabanchel,Apartment/condo,Entire home/apt,Standard,small_group,within an hour,single_listing,reviewed_30d,40.39570966406136,-3.708942733499864,2.3852,1,120,4,2.0,2.0,2.0,27,1,1,1,1,0,1,1,0,1,1,1.0,0.97,1.0,1.0,1.0,1.0,365,9,37,67,237,63,34,4,38,4.76,4.79,4.68,4.86,4.89,4.68,4.6,1.0,1,1,0,0,3.18,639.0,14.0,580.0,1,3,0,0.3506849315068493,0.0,0.3296703296703296,0.9891304347826086,0.0760869565217391,0.3956043956043956,0.0,1.0,0.0,0.35,0.3523809523809524,0.5,0.5,17.0,1,1,1,0,0,0.3,0.6493,0.0024
237.0,5.472270673671475,Ibiza,Retiro,Apartment/condo,Entire home/apt,Standard,family_group,within an hour,small_multi_host,reviewed_30d,40.42069,-3.6777,2.2515,1,218,6,2.0,4.0,1.0,61,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0,3.0,1.0,1.0,730,3,11,27,31,200,78,3,77,4.75,4.86,4.78,4.56,4.82,4.86,4.7,1.0,3,3,0,0,1.43,4199.0,16.0,4170.0,1,2,0,0.915068493150685,1.0,1.0,1.0,0.6630434782608695,0.7692307692307693,1.0,1.0,0.8888888888888888,0.896551724137931,0.9615384615384616,0.6667,0.1667,37.0,1,1,1,1,0,0.1,0.0849,0.065
214.0,5.3706380281276624,Palacio,Centro,Apartment/condo,Entire home/apt,Standard,small_group,within an hour,large_operator,reviewed_90d,40.42032952842066,-3.7082979049801055,0.5468,1,1354,4,1.0,2.0,1.0,29,1,1,1,0,0,1,1,1,1,1,1.0,0.99,0.0,34.0,1.0,1.0,1124,0,6,20,61,31,4,0,1,4.26,4.1,4.23,4.29,4.32,5.0,4.29,1.0,34,17,17,0,0.46,2141.0,39.0,1978.0,1,2,1,0.8328767123287671,0.6888888888888889,1.0,1.0,0.6413043478260869,0.8791208791208791,1.0,1.0,0.4444444444444444,0.8314176245210728,0.8365384615384616,0.5,0.25,3.0,1,0,1,1,0,0.0,0.1671,0.0051
129.0,4.867534450455582,Palacio,Centro,Apartment/condo,Private room,Private,couple,within an hour,professional_host,reviewed_30d,40.42266984228382,-3.7114921338911695,0.922,1,1354,2,1.0,1.0,1.0,36,1,0,1,1,1,1,0,0,1,1,0.99,1.0,0.0,10.0,1.0,0.0,365,27,57,87,106,121,121,7,6,4.31,4.32,4.31,4.5,4.3,4.66,4.12,1.0,10,0,10,0,11.98,3033.0,8.0,294.0,1,1,1,0.7095890410958904,1.0,1.0,0.8478260869565217,0.0,0.1758241758241758,1.0,1.0,0.6555555555555556,0.7076923076923077,0.7142857142857143,0.5,0.5,97.0,1,1,1,0,0,0.9,0.2904,0.0066
57.0,4.060443010546419,Imperial,Arganzuela,Apartment/condo,Private room,Private,solo,within an hour,single_listing,reviewed_30d,40.409268624598944,-3.719491073972482,1.5704,1,127,1,1.0,1.0,0.5,8,1,0,0,0,0,0,1,0,0,0,0.86,0.88,0.0,1.0,1.0,1.0,7,5,25,51,225,12,12,1,0,5.0,4.67,5.0,4.67,4.92,4.67,4.67,1.0,1,0,1,0,2.69,2889.0,7.0,126.0,1,1,0,0.3835616438356164,0.0222222222222222,0.2417582417582417,1.0,0.2608695652173913,0.5714285714285714,0.0217391304347826,0.8913043478260869,0.0444444444444444,0.3576923076923077,0.4476190476190476,1.0,0.5,12.0,1,1,1,1,0,0.1667,0.6164,0.0899
82.0,4.418840607796598,Sol,Centro,Apartment/condo,Private room,Shared,couple,within an hour,professional_host,reviewed_30d,40.41517281876151,-3.708042486712243,0.4022,1,994,2,1.0,1.0,1.0,30,1,0,0,0,1,0,1,1,1,1,1.0,0.92,1.0,6.0,1.0,1.0,28,9,32,62,242,156,85,3,83,4.83,4.87,4.87,4.87,4.91,4.92,4.78,0.0,5,0,5,0,6.9,687.0,19.0,658.0,1,2,1,0.336986301369863,0.0,0.2087912087912088,0.967391304347826,0.1630434782608695,0.4615384615384615,0.0,0.8804347826086957,0.0,0.3218390804597701,0.375,0.5,0.5,46.0,1,1,1,0,0,0.3,0.663,0.0532
33.0,3.5263605246161616,Universidad,Centro,Guesthouse/hostel,Shared room,Shared,large_group,within an hour,professional_host,reviewed_365d,40.42227,-3.70282,0.6139,1,1566,10,1.0,10.0,2.0,27,1,1,1,0,1,0,0,1,0,0,1.0,0.98,0.0,12.0,1.0,1.0,5,26,56,86,361,34,13,0,15,4.59,4.71,4.56,4.59,4.74,4.79,4.56,0.0,12,0,0,12,0.93,1257.0,100.0,1001.0,1,1,1,0.010958904109589,0.0,0.0,0.0434782608695652,0.0,0.0439560439560439,0.0,0.0,0.0,0.0076628352490421,0.0192307692307692,1.0,0.2,4.0,1,0,0,0,1,0.8667,0.989,0.0116
92.0,4.532599493153256,Palacio,Centro,Apartment/condo,Entire home/apt,Standard,couple,within a few hours,large_operator,reviewed_90d,40.41449,-3.71083,0.6482,1,1354,2,1.0,1.0,1.0,42,1,1,1,1,1,1,1,1,1,0,1.0,0.94,0.0,26.0,1.0,1.0,365,1,3,12,108,30,9,0,7,4.97,4.9,4.8,5.0,4.97,4.97,4.6,0.0,23,23,0,0,0.79,4634.0,42.0,1093.0,1,1,1,0.7041095890410959,0.7333333333333333,0.2087912087912088,0.9891304347826086,0.8804347826086957,0.967032967032967,0.2391304347826087,0.8804347826086957,0.7333333333333333,0.6973180076628352,0.7211538461538461,0.5,0.5,3.0,1,0,1,1,0,0.0333,0.2959,0.0238
195.0,5.278114659230517,Palacio,Centro,Apartment/condo,Entire home/apt,Standard,small_group,,professional_host,no_reviews,40.41714,-3.70915,0.4545,1,1354,3,1.0,1.0,1.0,25,1,1,1,1,0,1,0,1,1,0,,,0.0,12.0,1.0,0.0,365,27,57,74,74,0,0,0,0,,,,,,,,1.0,12,12,0,0,,61.0,,,0,28,1,0.7972602739726027,1.0,1.0,0.8478260869565217,0.3478260869565217,0.1868131868131868,1.0,1.0,1.0,0.8007662835249042,0.7884615384615384,0.3333,0.3333,0.0,0,0,0,0,0,0.9,0.2027,-0.0123
100.0,4.61512051684126,Palacio,Centro,Apartment/condo,Entire home/apt,Standard,small_group,within an hour,professional_host,reviewed_30d,40.42,-3.70922,0.5806,1,1354,3,1.0,2.0,1.0,28,1,1,1,0,1,1,0,1,1,1,1.0,1.0,1.0,11.0,1.0,1.0,28,0,8,29,159,310,116,6,102,4.82,4.8,4.83,4.81,4.94,4.97,4.81,1.0,11,11,0,0,7.62,1322.0,6.0,1213.0,1,1,1,0.5643835616438356,0.0444444444444444,0.6703296703296703,1.0,0.532608695652174,0.7912087912087912,0.358695652173913,1.0,0.1,0.5555555555555556,0.5865384615384616,0.6667,0.3333,56.0,1,1,1,1,0,0.0,0.4356,0.031
20.0,3.044522437723423,Castillejos,Tetuán,Apartment/condo,Private room,Shared,solo,a few days or more,large_operator,no_reviews,40.45897098796615,-3.6923636925164014,4.788,1,211,1,1.0,1.0,4.0,7,1,1,1,1,1,1,0,0,0,0,0.06,0.15,0.0,216.0,0.0,1.0,90,0,0,0,257,0,0,0,0,,,,,,,,0.0,215,3,212,0,,307.0,,,0,30,1,0.2958904109589041,0.0,0.0,0.1739130434782608,1.0,0.8461538461538461,0.0,0.0,0.3444444444444444,0.2988505747126437,0.2884615384615384,1.0,4.0,0.0,0,0,0,1,0,0.0,0.7041,-0.0104
88.0,4.48863636973214,Palacio,Centro,Apartment/condo,Entire home/apt,Standard,couple,within an hour,large_operator,reviewed_30d,40.42265,-3.71041,0.8581,1,1354,2,0.0,1.0,1.0,5,1,0,1,0,1,1,0,0,0,0,0.68,0.56,0.0,208.0,1.0,1.0,15,3,12,30,48,5,5,3,0,4.8,5.0,4.8,5.0,5.0,4.8,5.0,1.0,181,167,14,0,2.83,1212.0,10.0,42.0,1,1,1,0.8684931506849315,1.0,1.0,1.0,0.4782608695652174,0.8131868131868132,1.0,1.0,0.6555555555555556,0.8544061302681992,0.903846153846154,0.5,0.5,5.0,1,1,1,1,0,0.1,0.1315,0.0494
101.0,4.624972813284271,Justicia,Centro,Apartment/condo,Entire home/apt,Standard,couple,within a day,large_operator,reviewed_90d,40.42491,-3.7004,0.9466,1,861,2,1.0,1.0,1.0,20,1,1,1,1,0,1,1,1,1,1,0.86,0.57,0.0,541.0,1.0,1.0,365,0,24,54,329,1,1,0,0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,0.0,407,407,0,0,0.65,1355.0,45.0,0.0,1,1,1,0.0986301369863013,0.0,0.0,0.1739130434782608,0.217391304347826,0.3956043956043956,0.0,0.0,0.0,0.0996168582375478,0.0961538461538461,0.5,0.5,1.0,1,0,1,1,1,0.0,0.9014,-0.0035
208.0,5.342334251964811,Trafalgar,Chamberí,Apartment/condo,Entire home/apt,Standard,family_group,within an hour,large_operator,stale_over_365d,40.42971,-3.69912,1.4892,1,330,6,3.0,4.0,4.0,26,1,1,1,1,1,1,0,1,0,0,0.97,0.99,0.0,904.0,1.0,1.0,330,0,0,0,111,1,0,0,0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0,384,384,0,0,0.04,1949.0,792.0,0.0,1,30,1,0.6958904109589041,1.0,0.2307692307692307,0.5543478260869565,1.0,1.0,0.5652173913043478,0.2282608695652173,1.0,0.6973180076628352,0.6923076923076923,0.6667,0.6667,0.0,1,0,0,1,0,0.0,0.3041,-0.005
