price_eur,log_price_eur,neighbourhood_cleansed,property_group,room_type,bathroom_type,capacity_bucket,host_response_time,host_scale_bucket,review_recency_bucket,latitude,longitude,distance_to_center_km,is_central_5km,neighbourhood_listing_count,accommodates,bedrooms,beds,bathrooms,amenities_count,has_wifi,has_kitchen,has_air_conditioning,has_washer,has_dedicated_workspace,has_tv,has_parking,has_elevator,has_heating,has_self_checkin,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_tenure_days,days_since_last_review,review_history_days,has_reviews,minimum_nights_capped,is_professional_host,calendar_unavailable_rate,calendar_unavailable_q1,calendar_unavailable_q2,calendar_unavailable_q3,calendar_unavailable_q4,calendar_unavailable_autumn,calendar_unavailable_spring,calendar_unavailable_summer,calendar_unavailable_winter,calendar_unavailable_weekday,calendar_unavailable_weekend,beds_per_guest,bathrooms_per_guest,reviews_last_6m,has_rating,reviewed_last_30d,reviewed_last_90d,low_availability_30,high_annual_availability,availability_30_ratio,availability_365_ratio,calendar_weekend_unavailable_gap
106.8198,4.680461315078378,Shinagawa Ku,House/villa,Entire home/apt,Half,large_group,within an hour,large_operator,reviewed_365d,35.60507,139.70934,9.945,0,418,8,1.0,4.0,0.5,27,1,1,1,1,0,1,0,0,1,1,1.0,1.0,0.0,45.0,1.0,1.0,90,5,19,35,109,20,8,0,8,4.6,4.6,4.65,4.75,4.8,4.5,4.65,1.0,44,37,7,0,0.76,2727.0,116.0,675.0,1,1,1,0.7013698630136986,0.1777777777777777,1.0,1.0,0.6195652173913043,0.7582417582417582,0.75,1.0,0.2888888888888888,0.7164750957854407,0.6634615384615384,0.5,0.0625,3.0,1,0,0,1,0,0.1667,0.2986,-0.053
75.6152,4.338795490481604,Bunkyo Ku,Apartment/condo,Entire home/apt,Standard,small_group,within an hour,large_operator,reviewed_30d,35.72977,139.76189,5.4212,0,417,3,1.0,2.0,1.0,30,1,1,1,1,1,1,0,1,1,1,1.0,0.94,0.0,38.0,1.0,1.0,365,8,18,30,305,4,4,1,0,4.5,4.75,4.5,5.0,4.75,4.25,4.5,0.0,38,38,0,0,0.82,797.0,19.0,126.0,1,1,1,0.1643835616438356,0.0,0.0,0.0108695652173913,0.6413043478260869,0.4835164835164835,0.0,0.0,0.1777777777777777,0.1685823754789272,0.1538461538461538,0.6667,0.3333,4.0,1,1,1,0,1,0.2667,0.8356,-0.0147
98.394,4.599091749667621,Shinjuku Ku,Apartment/condo,Entire home/apt,Standard,couple,within an hour,large_operator,no_reviews,35.68936233533619,139.6877666002407,7.2223,0,4114,2,1.0,2.0,1.0,34,1,1,1,1,1,1,0,0,1,1,1.0,1.0,0.0,105.0,1.0,1.0,180,16,36,62,152,0,0,0,0,,,,,,,,1.0,105,105,0,0,,892.0,,,0,2,1,0.5835616438356165,0.0444444444444444,1.0,1.0,0.2826086956521739,0.5714285714285714,0.6956521739130435,1.0,0.0555555555555555,0.5632183908045977,0.6346153846153846,1.0,0.5,0.0,0,0,0,0,0,0.5333,0.4164,0.0714
98.6668,4.601832622514324,Shinjuku Ku,Apartment/condo,Entire home/apt,Standard,small_group,within an hour,small_multi_host,reviewed_30d,35.69054,139.71372,4.9316,1,4114,3,1.0,3.0,1.0,17,1,1,1,1,0,1,0,0,1,0,1.0,1.0,0.0,2.0,1.0,1.0,365,3,21,51,141,47,24,1,16,4.51,4.28,4.6,4.26,4.62,4.79,4.26,1.0,2,2,0,0,1.77,811.0,20.0,775.0,1,1,0,0.6136986301369863,0.0333333333333333,1.0,1.0,0.4130434782608695,0.7472527472527473,0.6956521739130435,1.0,0.0,0.6168582375478927,0.6057692307692307,1.0,0.3333,16.0,1,1,1,1,0,0.1,0.3863,-0.0111
186.0,5.231108616854587,Minato Ku,Apartment/condo,Entire home/apt,Standard,small_group,within an hour,professional_host,reviewed_90d,35.64533227391706,139.73056900169698,5.1767,0,954,3,1.0,2.0,1.0,14,1,1,1,1,1,0,0,0,1,1,1.0,1.0,1.0,8.0,1.0,1.0,88,3,4,4,261,1,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,8,8,0,0,0.42,1850.0,71.0,0.0,1,28,1,0.284931506849315,0.1777777777777777,0.0,0.0217391304347826,0.9347826086956522,0.6483516483516484,0.0,0.0,0.5,0.2873563218390804,0.2788461538461538,0.6667,0.3333,1.0,1,0,1,1,0,0.1,0.7151,-0.0085
97.96,4.594715728084233,Sumida Ku,Apartment/condo,Entire home/apt,Standard,small_group,within an hour,large_operator,no_reviews,35.7089181,139.7993511,4.2405,1,3478,4,1.0,2.0,1.0,46,1,1,1,1,1,1,1,1,1,1,1.0,1.0,,60.0,1.0,1.0,365,6,23,42,275,0,0,0,0,,,,,,,,1.0,45,45,0,0,,1177.0,,,0,2,1,0.2465753424657534,0.3555555555555555,0.0879120879120879,0.0108695652173913,0.532608695652174,0.4065934065934066,0.1739130434782608,0.0,0.4111111111111111,0.2490421455938697,0.2403846153846154,0.5,0.25,0.0,0,0,0,1,1,0.2,0.7534,-0.0087
61.0886,4.128562397208276,Itabashi Ku,Apartment/condo,Entire home/apt,Standard,small_group,within an hour,small_multi_host,reviewed_30d,35.7721787,139.6463948,14.8682,0,452,3,1.0,2.0,1.0,28,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0.0,3.0,1.0,1.0,365,13,39,69,234,1,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2,2,0,0,1.0,3141.0,6.0,0.0,1,1,0,0.3589041095890411,0.8888888888888888,0.3296703296703296,0.0217391304347826,0.2065217391304347,0.2307692307692307,0.6630434782608695,0.0,0.5444444444444444,0.3601532567049808,0.3557692307692308,0.6667,0.3333,1.0,1,1,1,0,0,0.4333,0.6411,-0.0044
60.14,4.113166316462689,Koto Ku,Apartment/condo,Entire home/apt,Standard,small_group,within an hour,small_multi_host,reviewed_30d,35.6965651,139.8428997,7.0556,0,493,4,1.0,2.0,2.0,43,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,2.0,1.0,1.0,1125,6,20,41,297,16,16,1,0,5.0,4.88,4.94,5.0,5.0,4.88,4.94,1.0,2,2,0,0,2.65,827.0,14.0,166.0,1,1,0,0.1863013698630137,0.1333333333333333,0.0439560439560439,0.0,0.5652173913043478,0.4395604395604395,0.108695652173913,0.0,0.2,0.1762452107279693,0.2115384615384615,0.5,0.5,16.0,1,1,1,1,1,0.2,0.8137,0.0353
260.7782,5.567497580337183,Adachi Ku,House/villa,Entire home/apt,Standard,large_group,within an hour,professional_host,reviewed_90d,35.7810893,139.7837201,11.208,0,391,10,1.0,4.0,1.0,41,1,1,1,1,1,1,1,0,1,1,1.0,1.0,1.0,5.0,1.0,1.0,1125,4,13,40,220,35,8,0,31,4.94,4.94,4.86,4.91,5.0,4.83,4.97,0.0,5,5,0,0,1.8,772.0,66.0,515.0,1,5,1,0.3972602739726027,0.0,0.0549450549450549,1.0,0.5217391304347826,0.8241758241758241,0.0,0.7282608695652174,0.0333333333333333,0.3869731800766283,0.4230769230769231,0.4,0.1,2.0,1,0,1,1,0,0.1333,0.6027,0.0361
155.6696,5.0541391292649696,Taito Ku,Apartment/condo,Entire home/apt,Standard,family_group,within an hour,professional_host,reviewed_30d,35.7099011,139.7791564,3.372,1,2373,5,2.0,4.0,1.0,33,1,1,1,1,0,1,0,0,1,1,1.0,1.0,1.0,8.0,1.0,1.0,60,7,8,11,216,51,37,2,23,4.82,4.88,4.92,4.98,4.94,4.98,4.78,1.0,8,8,0,0,3.02,2657.0,6.0,500.0,1,3,1,0.4082191780821917,0.5666666666666667,0.1758241758241758,0.0108695652173913,0.8804347826086957,0.5934065934065934,0.3695652173913043,0.0,0.6777777777777778,0.3869731800766283,0.4615384615384615,0.8,0.2,18.0,1,1,1,1,0,0.2333,0.5918,0.0746
